ABOX;TBOX;POS;ABox_size;ABox_load_time;Conflicts_size;Conflicts_time;pi_repair_size;pi_repair_time;pi_repair_total_time;cl_ABox_size;cl_ABox_time;all_supports_size;all_supports_time;cpi_repair_size;cpi_repair_time;cpi_repair_total_time;cl-ABox_size;cl-ABox_time;cl_pi_repair_size;cl_pi_repair_time;supports_time;cpi_repair++_size;cpi_repair++_time;cpi_repair++_total_time;only cpi-repair;cl(π)-repair
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.1.txt;9156;0.0590000152587891;93;1.29100012779236;0;0.0549998283386231;1.40499997138977;25337;1.38499999046326;29034;25.9090001583099;0;0.628999948501587;29.0650000572205;16181;1.34299993515015;0;1.27699995040894;24.7969999313354;0;0.161999940872192;28.9459998607635;0;0
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.2.txt;9156;0.0230000019073486;2;1.27999997138977;524;0.0439999103546143;1.34699988365173;25337;1.23000001907349;27193;25.3719999790192;1794;0.168999910354614;27.8450000286102;16181;1.82699990272522;1242;1.58200001716614;22.4129998683929;1794;0.0360000133514404;26.9409999847412;28;1766
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.3.txt;9156;0.0280001163482666;75;1.05599999427795;4406;0.122999906539917;1.20700001716614;25337;1.33800005912781;26185;24.875;13320;0.606000185012817;27.9020001888275;16181;1.33899998664856;8917;3.46799993515015;11.3870000839233;13323;0.0329999923706055;17.5299999713898;0;13323
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.4.txt;9156;0.0369999408721924;57;1.06200003623962;4273;0.111000061035156;1.21000003814697;25337;1.25;25979;24.7860000133514;12985;0.573999881744385;27.731999874115;16181;1.34999990463257;8716;3.33400011062622;11.614000082016;12989;0.0319998264312744;17.5039999485016;0;12989
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.5.txt;9156;0.0239999294281006;24;1.08000016212463;1480;0.0550000667572022;1.15900015830994;25337;1.34200000762939;25729;24.6510000228882;4812;0.302000045776367;27.5540001392365;16181;1.42499995231628;3332;2.1010000705719;19.5139999389648;4812;0.0329999923706055;24.183000087738;0;4812
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.6.txt;9156;0.0269999504089355;7;1.08599996566772;5152;0.0680000782012939;1.18099999427795;25337;1.32499980926514;25730;24.9539999961853;15306;0.236000061035156;27.4909999370575;16181;1.34700012207031;10154;3.70099997520447;9.88699984550476;15306;0.0230000019073486;16.1429998874664;0;15306
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.7.txt;9156;0.0410001277923584;1;1.07699990272522;3498;0.0810000896453857;1.19900012016296;25337;1.32800006866455;25568;24.9349999427795;10859;0.18500018119812;27.4710001945496;16181;1.29000020027161;7361;2.91300010681152;13.3519999980927;10859;0.0260000228881836;18.7300000190735;0;10859
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.8.txt;9156;0.0289998054504395;54;1.05700016021729;4712;0.0950000286102295;1.18099999427795;25337;1.37399983406067;25501;24.8739998340607;14185;0.549000024795532;27.8479998111725;16181;1.44000005722046;9478;3.4779999256134;10.6010000705719;14190;0.0409998893737793;16.7400000095367;0;14190
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos50_prob_0.9.txt;9156;0.0559999942779541;1;1.10500001907349;4989;0.0559999942779541;1.21700000762939;25337;1.30400013923645;25475;25.3589999675751;14939;0.275000095367432;27.9480001926422;16181;1.38199996948242;9956;3.68899989128113;10.2060000896454;14945;0.0250000953674316;16.5190000534058;0;14945
university0.5_p_0.000005.db;lubm-ex-20_disjoint.owl;pos100_prob_0.1.txt;9156;0.0520000457763672;4;1.16199994087219;0;0.103999853134155;1.31799983978271;25337;1.31500005722046;27269;24.9880001544952;33;0.188999891281128;27.5629999637604;16181;1.36300015449524;0;1.31299996376038;24.3099999427795;33;0.0520000457763672;28.1740000247955;33;0
